timestamp,location,potentialEvapotranspiration
2011-04-27T00:00:00,Lower,0.0
2011-04-28T00:00:00,Lower,0.0
2011-04-29T00:00:00,Lower,0.0
2011-04-30T00:00:00,Lower,0.0
2011-05-01T00:00:00,Lower,0.9935999999999999
2011-05-02T00:00:00,Lower,0.9504
2011-05-03T00:00:00,Lower,1.4687999999999999
2011-05-04T00:00:00,Lower,0.7776
2011-05-05T00:00:00,Lower,0.0
2011-05-06T00:00:00,Lower,0.0
2011-05-07T00:00:00,Lower,0.0
2011-05-08T00:00:00,Lower,0.0
2011-05-09T00:00:00,Lower,0.432
2011-05-10T00:00:00,Lower,0.0
2011-05-11T00:00:00,Lower,0.0
2011-05-12T00:00:00,Lower,0.0
2011-05-13T00:00:00,Lower,0.0
2011-05-14T00:00:00,Lower,0.0
2011-05-15T00:00:00,Lower,0.0
2011-05-16T00:00:00,Lower,0.0
2011-05-17T00:00:00,Lower,0.0
2011-05-18T00:00:00,Lower,0.1296
2011-05-19T00:00:00,Lower,0.216
2011-05-20T00:00:00,Lower,0.4752
2011-05-21T00:00:00,Lower,0.2592
2011-05-22T00:00:00,Lower,0.0
2011-05-23T00:00:00,Lower,0.0
2011-05-24T00:00:00,Lower,0.0
2011-05-25T00:00:00,Lower,0.0
2011-05-26T00:00:00,Lower,0.0
2011-05-27T00:00:00,Lower,0.0
2011-05-28T00:00:00,Lower,0.0
2011-05-29T00:00:00,Lower,0.0
2011-05-30T00:00:00,Lower,0.0
2011-05-31T00:00:00,Lower,0.8208
2011-06-01T00:00:00,Lower,0.432
2011-06-02T00:00:00,Lower,0.648
2011-06-03T00:00:00,Lower,0.0
2011-06-04T00:00:00,Lower,0.0
2011-06-05T00:00:00,Lower,0.3456
2011-06-06T00:00:00,Lower,1.2096
2011-06-07T00:00:00,Lower,1.1232
2011-06-08T00:00:00,Lower,0.0
2011-06-09T00:00:00,Lower,0.0
2011-06-10T00:00:00,Lower,0.0
2011-06-11T00:00:00,Lower,0.0
2011-06-12T00:00:00,Lower,0.0
2011-06-13T00:00:00,Lower,0.0
2011-06-14T00:00:00,Lower,0.0
2011-06-15T00:00:00,Lower,0.0
2011-06-16T00:00:00,Lower,0.0
2011-06-17T00:00:00,Lower,0.0
2011-06-18T00:00:00,Lower,0.0
2011-06-19T00:00:00,Lower,0.0
2011-06-20T00:00:00,Lower,0.0
2011-06-21T00:00:00,Lower,0.0
2011-06-22T00:00:00,Lower,0.0
2011-06-23T00:00:00,Lower,0.0
2011-06-24T00:00:00,Lower,0.0
2011-06-25T00:00:00,Lower,0.0
2011-06-26T00:00:00,Lower,0.0
2011-06-27T00:00:00,Lower,0.0
2011-06-28T00:00:00,Lower,0.0
2011-06-29T00:00:00,Lower,0.0
2011-06-30T00:00:00,Lower,0.0
2011-07-01T00:00:00,Lower,0.0
2011-07-02T00:00:00,Lower,0.0
2011-07-03T00:00:00,Lower,0.0
2011-07-04T00:00:00,Lower,0.0
2011-07-05T00:00:00,Lower,0.648
2011-07-06T00:00:00,Lower,0.7343999999999999
2011-07-07T00:00:00,Lower,0.432
2011-07-08T00:00:00,Lower,0.0864
2011-07-09T00:00:00,Lower,0.432
2011-07-10T00:00:00,Lower,0.0
2011-07-11T00:00:00,Lower,0.0
2011-07-12T00:00:00,Lower,0.0
2011-07-13T00:00:00,Lower,0.864
2011-07-14T00:00:00,Lower,1.08
2011-07-15T00:00:00,Lower,1.0368
2011-07-16T00:00:00,Lower,2.0304
2011-07-17T00:00:00,Lower,2.6784
2011-07-18T00:00:00,Lower,2.376
2011-07-19T00:00:00,Lower,4.0608
2011-07-20T00:00:00,Lower,3.7152
2011-07-21T00:00:00,Lower,3.2399999999999998
2011-07-22T00:00:00,Lower,2.808
2011-07-23T00:00:00,Lower,3.1104
2011-07-24T00:00:00,Lower,2.5488
2011-07-25T00:00:00,Lower,3.672
2011-07-26T00:00:00,Lower,3.4128000000000003
2011-07-27T00:00:00,Lower,3.9311999999999996
2011-07-28T00:00:00,Lower,3.3264
2011-07-29T00:00:00,Lower,2.9375999999999998
2011-07-30T00:00:00,Lower,2.808
2011-07-31T00:00:00,Lower,3.5856000000000003
2011-08-01T00:00:00,Lower,3.7152
2011-08-02T00:00:00,Lower,3.1968
2011-08-03T00:00:00,Lower,3.4991999999999996
2011-08-04T00:00:00,Lower,3.4128000000000003
2011-08-05T00:00:00,Lower,5.0976
2011-08-06T00:00:00,Lower,5.184
2011-08-07T00:00:00,Lower,5.5296
2011-08-08T00:00:00,Lower,6.6096
2011-08-09T00:00:00,Lower,6.048
2011-08-10T00:00:00,Lower,6.134399999999999
2011-08-11T00:00:00,Lower,6.6096
2011-08-12T00:00:00,Lower,5.5728
2011-08-13T00:00:00,Lower,5.4
2011-08-14T00:00:00,Lower,5.2703999999999995
2011-08-15T00:00:00,Lower,4.0608
2011-08-16T00:00:00,Lower,4.2336
2011-08-17T00:00:00,Lower,5.918399999999999
2011-08-18T00:00:00,Lower,7.387200000000001
2011-08-19T00:00:00,Lower,7.2576
2011-08-20T00:00:00,Lower,7.0416
2011-08-21T00:00:00,Lower,6.912
2011-08-22T00:00:00,Lower,6.4368
2011-08-23T00:00:00,Lower,5.4864
2011-08-24T00:00:00,Lower,5.5728
2011-08-25T00:00:00,Lower,6.1776
2011-08-26T00:00:00,Lower,6.4368
2011-08-27T00:00:00,Lower,6.3504
2011-08-28T00:00:00,Lower,6.134399999999999
2011-08-29T00:00:00,Lower,7.2576
2011-08-30T00:00:00,Lower,6.7824
2011-08-31T00:00:00,Lower,7.6032
2011-09-01T00:00:00,Lower,7.4304
2011-09-02T00:00:00,Lower,6.998399999999999
2011-09-03T00:00:00,Lower,8.2944
2011-09-04T00:00:00,Lower,7.387200000000001
2011-09-05T00:00:00,Lower,4.9248
2011-09-06T00:00:00,Lower,5.832
